time,sample,replicate,microparticle_concentration,log_microparticle_concentration,clearance_rate,clearance_rate_minus_control_mean,controlcorrected_clearance_per_mass ,clearance_per_mass,,# measurement units
0,mussel,a,400,2.602059991,16,13.333,0.855776637,1.026957638,,# microparticle_concentration: microparticles ml-1
5,mussel,a,320,2.505149978,8,5.333,0.342297818,0.513478819,,# clearance_rate: microparticles ml-1 minute-1 
10,mussel,a,280,2.447158031,24,21.333,1.369255456,1.540436457,,# clearance_per_mass: microparticles ml-1 g wet mussel mass-1 minute-1
15,mussel,a,160,2.204119983,0,-2.667,-0.171181001,0,,# clearance_rate_minus_control_mean: mincroparticles ml-1 minute-1
20,mussel,a,160,2.204119983,8,5.333,0.342297818,0.513478819,,# controlcorrected_clearance_per_mass: microparticles ml-1 g wet mussel mass-1 minute-1
25,mussel,a,120,2.079181246,0,-2.667,-0.171181001,0,,
30,mussel,a,120,2.079181246,8,5.333,0.342297818,0.513478819,,"# mussel weights in g: a 15.58, b 15.87, c 12.07, d 12.25, e 13.64"
35,mussel,a,80,1.903089987,0,-2.667,-0.171181001,0,,# control mean clearance rate is 2.667
40,mussel,a,80,1.903089987,-8,-10.667,-0.68465982,-0.513478819,,
45,mussel,a,120,2.079181246,8,5.333,0.342297818,0.513478819,,
50,mussel,a,80,1.903089987,8,5.333,0.342297818,0.513478819,,
55,mussel,a,40,1.602059991,-8,-10.667,-0.68465982,-0.513478819,,
60,mussel,a,80,1.903089987,,,,,,
0,mussel,b,440,2.643452676,24,21.333,1.344234405,1.512287335,,
5,mussel,b,320,2.505149978,24,21.333,1.344234405,1.512287335,,
10,mussel,b,200,2.301029996,-8,-10.667,-0.672148708,-0.504095778,,
15,mussel,b,240,2.380211242,8,5.333,0.336042848,0.504095778,,
20,mussel,b,200,2.301029996,0,-2.667,-0.16805293,0,,
25,mussel,b,200,2.301029996,24,21.333,1.344234405,1.512287335,,
30,mussel,b,80,1.903089987,0,-2.667,-0.16805293,0,,
35,mussel,b,80,1.903089987,-8,-10.667,-0.672148708,-0.504095778,,
40,mussel,b,120,2.079181246,8,5.333,0.336042848,0.504095778,,
45,mussel,b,80,1.903089987,8,5.333,0.336042848,0.504095778,,
50,mussel,b,40,1.602059991,-16,-18.667,-1.176244486,-1.008191556,,
55,mussel,b,120,2.079181246,8,5.333,0.336042848,0.504095778,,
60,mussel,b,80,1.903089987,,,,,,
0,mussel,c,480,2.681241237,16,13.333,1.104639602,1.325600663,,
5,mussel,c,400,2.602059991,16,13.333,1.104639602,1.325600663,,
10,mussel,c,320,2.505149978,-8,-10.667,-0.883761392,-0.662800331,,
15,mussel,c,360,2.556302501,32,29.333,2.430240265,2.651201326,,
20,mussel,c,200,2.301029996,-8,-10.667,-0.883761392,-0.662800331,,
25,mussel,c,240,2.380211242,16,13.333,1.104639602,1.325600663,,
30,mussel,c,160,2.204119983,16,13.333,1.104639602,1.325600663,,
35,mussel,c,80,1.903089987,8,5.333,0.441839271,0.662800331,,
40,mussel,c,40,1.602059991,-16,-18.667,-1.546561723,-1.325600663,,
45,mussel,c,120,2.079181246,8,5.333,0.441839271,0.662800331,,
50,mussel,c,80,1.903089987,0,-2.667,-0.22096106,0,,
55,mussel,c,80,1.903089987,8,5.333,0.441839271,0.662800331,,
60,mussel,c,40,1.602059991,,,,,,
0,mussel,d,520,2.716003344,24,21.333,1.741469388,1.959183673,,
5,mussel,d,400,2.602059991,24,21.333,1.741469388,1.959183673,,
10,mussel,d,280,2.447158031,8,5.333,0.435346939,0.653061224,,
15,mussel,d,240,2.380211242,24,21.333,1.741469388,1.959183673,,
20,mussel,d,120,2.079181246,-8,-10.667,-0.87077551,-0.653061224,,
25,mussel,d,160,2.204119983,8,5.333,0.435346939,0.653061224,,
30,mussel,d,120,2.079181246,0,-2.667,-0.217714286,0,,
35,mussel,d,120,2.079181246,8,5.333,0.435346939,0.653061224,,
40,mussel,d,80,1.903089987,8,5.333,0.435346939,0.653061224,,
45,mussel,d,40,1.602059991,-8,-10.667,-0.87077551,-0.653061224,,
50,mussel,d,80,1.903089987,0,-2.667,-0.217714286,0,,
55,mussel,d,80,1.903089987,8,5.333,0.435346939,0.653061224,,
60,mussel,d,40,1.602059991,,,,,,
0,mussel,e,360,2.556302501,0,-2.667,-0.195527859,0,,
5,mussel,e,360,2.556302501,16,13.333,0.977492669,1.173020528,,
10,mussel,e,280,2.447158031,24,21.333,1.564002933,1.759530792,,
15,mussel,e,160,2.204119983,-8,-10.667,-0.782038123,-0.586510264,,
20,mussel,e,200,2.301029996,0,-2.667,-0.195527859,0,,
25,mussel,e,200,2.301029996,16,13.333,0.977492669,1.173020528,,
30,mussel,e,120,2.079181246,0,-2.667,-0.195527859,0,,
35,mussel,e,120,2.079181246,8,5.333,0.390982405,0.586510264,,
40,mussel,e,80,1.903089987,-8,-10.667,-0.782038123,-0.586510264,,
45,mussel,e,120,2.079181246,8,5.333,0.390982405,0.586510264,,
50,mussel,e,80,1.903089987,0,-2.667,-0.195527859,0,,
55,mussel,e,80,1.903089987,-8,-10.667,-0.782038123,-0.586510264,,
60,mussel,e,120,2.079181246,,,,,,
0,control,a,520,2.716003344,0,,,,,
5,control,a,520,2.556302501,0,,,,,
10,control,a,520,2.716003344,32,,,,,
15,control,a,360,2.556302501,8,,,,,
20,control,a,320,2.505149978,0,,,,,
25,control,a,320,2.505149978,-8,,,,,
30,control,a,360,2.556302501,-8,,,,,
35,control,a,400,2.602059991,8,,,,,
40,control,a,360,2.556302501,0,,,,,
45,control,a,360,2.556302501,8,,,,,
50,control,a,320,2.505149978,8,,,,,
55,control,a,280,2.447158031,0,,,,,
60,control,a,280,2.447158031,,,,,,
0,control,b,440,2.643452676,8,,,,,
5,control,b,400,2.602059991,-24,,,,,
10,control,b,520,2.716003344,24,,,,,
15,control,b,400,2.602059991,8,,,,,
20,control,b,360,2.556302501,-24,,,,,
25,control,b,480,2.681241237,24,,,,,
30,control,b,360,2.556302501,8,,,,,
35,control,b,320,2.505149978,-16,,,,,
40,control,b,400,2.602059991,-8,,,,,
45,control,b,440,2.643452676,16,,,,,
50,control,b,360,2.556302501,0,,,,,
55,control,b,360,2.556302501,8,,,,,
60,control,b,320,2.505149978,,,,,,
0,control,c,440,2.643452676,0,,,,,
5,control,c,440,2.643452676,8,,,,,
10,control,c,400,2.602059991,0,,,,,
15,control,c,400,2.602059991,8,,,,,
20,control,c,360,2.556302501,-16,,,,,
25,control,c,440,2.643452676,8,,,,,
30,control,c,400,2.602059991,16,,,,,
35,control,c,320,2.505149978,-8,,,,,
40,control,c,360,2.556302501,-8,,,,,
45,control,c,400,2.602059991,8,,,,,
50,control,c,360,2.556302501,0,,,,,
55,control,c,360,2.556302501,8,,,,,
60,control,c,320,2.505149978,,,,,,